attendance,gpa,internal,assignment,terminal,behaviour,performance
71,0.45,14,28,28,40,Poor
34,3.94,14,17,24,64,Poor
91,3.36,17,35,37,26,Poor
80,0.5,73,80,33,83,Average
40,3.68,19,39,81,83,Average
94,3.48,47,16,18,21,Poor
94,2.08,90,76,56,95,Good
43,2.37,17,74,42,61,Average
22,1.6,34,45,71,73,Poor
41,0.22,82,34,28,94,Poor
72,1.34,75,46,76,35,Average
21,3.21,88,10,83,37,Average
49,0.02,59,24,49,78,Poor
57,1.33,76,46,56,35,Average
21,1.59,58,22,74,25,Poor
83,2.15,45,17,38,76,Poor
79,3.68,77,14,59,66,Average
40,1.39,87,69,22,67,Average
52,1.39,50,82,10,61,Poor
95,2.95,98,10,43,95,Average
77,1.81,71,45,57,79,Average
41,0.9,19,44,86,96,Poor
68,1.81,30,75,57,23,Average
78,0.56,45,72,58,21,Average
61,0.71,21,32,73,78,Poor
79,1.99,11,18,70,46,Poor
99,1.68,22,43,38,46,Average
34,3.66,62,55,48,98,Average
81,1.45,41,87,97,91,Good
81,2.32,25,13,35,26,Poor
66,2.53,41,39,26,82,Average
81,0.05,41,84,80,65,Average
70,2.65,20,81,22,82,Average
74,0.71,19,12,78,31,Poor
83,3.84,24,23,35,32,Poor
22,0.59,26,69,58,62,Poor
70,1.66,49,86,76,36,Average
26,0.34,27,54,16,82,Poor
40,3.99,64,43,67,55,Average
92,2.01,82,54,58,27,Average
58,2.38,34,70,62,88,Average
37,0.27,68,92,74,99,Average
23,3.0,87,25,71,55,Poor
79,0.84,98,75,26,47,Average
33,3.59,31,49,52,66,Poor
28,0.82,39,26,34,95,Poor
72,0.76,93,43,12,49,Average
21,0.15,94,25,88,42,Average
79,1.89,53,69,38,35,Average
90,2.26,41,75,41,33,Average
63,0.26,60,75,35,93,Average
27,3.1,55,99,25,90,Average
66,1.81,30,22,34,71,Poor
54,2.1,41,65,63,56,Average
97,1.76,48,40,37,48,Average
55,1.6,21,43,82,86,Average
69,2.24,56,48,65,34,Average
23,0.62,27,76,74,66,Poor
21,0.73,30,17,95,65,Poor
25,3.45,22,96,89,71,Average
73,3.78,30,87,50,38,Average
23,1.49,17,64,60,96,Poor
73,1.08,55,36,80,40,Average
82,2.58,16,62,87,83,Average
37,1.63,32,48,38,56,Poor
63,0.1,84,74,92,46,Average
53,0.62,95,26,28,74,Average
93,2.86,31,39,75,48,Average
81,2.64,98,62,50,39,Good
33,0.11,31,22,54,44,Poor
67,0.89,38,30,24,89,Average
34,0.92,22,28,12,82,Poor
91,2.69,91,62,20,55,Average
97,0.08,11,28,62,21,Poor
81,0.42,38,66,55,41,Average
59,3.2,94,34,39,35,Average
99,0.71,88,95,66,37,Good
72,2.61,61,40,27,88,Average
43,0.95,36,90,60,73,Average
45,0.4,59,64,57,49,Average
79,0.97,88,32,75,64,Average
60,2.89,32,41,17,38,Poor
48,3.42,97,71,31,53,Average
34,3.32,53,83,15,32,Average
64,1.59,86,19,85,62,Average
84,2.67,31,81,66,81,Average
90,0.82,52,63,45,41,Average
28,1.17,46,61,88,71,Average
20,3.59,70,29,66,71,Poor
27,0.05,65,41,58,55,Poor
82,0.34,12,23,54,92,Poor
30,0.83,72,59,91,38,Average
27,0.11,28,37,75,57,Poor
54,0.73,32,62,86,89,Average
54,2.33,38,33,54,98,Average
52,1.69,39,88,88,76,Average
24,3.57,48,31,29,39,Poor
60,3.27,34,39,73,28,Average
47,1.37,17,72,76,51,Poor
26,1.04,67,13,92,23,Poor
92,1.52,25,86,12,69,Poor
91,2.36,81,68,63,24,Average
31,1.07,10,96,87,39,Average
53,2.5,14,17,73,94,Poor
52,1.64,12,91,49,56,Poor
67,2.21,74,21,68,41,Average
42,1.74,13,40,64,77,Poor
81,1.18,73,87,71,87,Good
56,3.79,98,43,13,63,Average
63,3.05,19,91,69,53,Average
54,0.56,30,84,84,96,Average
84,3.47,55,85,39,61,Good
66,1.95,36,58,11,28,Poor
97,3.58,75,88,71,26,Good
22,3.2,50,66,58,87,Average
20,1.7,22,35,18,38,Poor
24,0.09,18,27,40,50,Poor
33,1.07,45,95,70,54,Average
46,2.17,95,47,88,76,Good
28,2.53,99,90,57,80,Average
98,1.03,67,96,34,50,Average
34,0.56,63,97,45,72,Average
61,3.34,21,59,17,51,Average
96,3.94,90,17,82,85,Good
70,2.1,87,50,67,78,Average
82,0.69,23,15,54,29,Poor
71,1.09,43,78,71,21,Average
23,0.07,62,53,48,85,Poor
42,3.66,29,73,67,79,Average
34,0.47,84,38,90,36,Average
62,2.31,25,37,92,35,Poor
48,1.1,79,20,73,35,Average
55,2.22,65,74,53,65,Average
32,2.61,92,28,38,58,Poor
51,3.32,67,18,68,50,Average
90,0.83,13,36,80,20,Average
78,0.04,13,43,18,30,Poor
47,0.55,29,53,15,23,Poor
85,3.6,19,77,38,90,Average
61,3.5,33,91,67,45,Average
64,2.39,35,24,26,69,Poor
81,2.4,46,60,25,31,Average
76,2.66,94,22,96,94,Good
25,0.7,63,92,12,84,Poor
47,3.66,30,58,30,66,Poor
47,1.68,83,79,73,72,Average
63,1.53,47,65,99,90,Average
49,2.08,55,85,45,21,Average
81,0.19,13,60,95,43,Average
94,0.67,69,46,71,23,Average
81,2.95,66,26,51,38,Average
20,0.33,54,67,85,45,Poor
46,2.41,29,96,51,94,Average
81,0.98,26,99,70,59,Average
96,1.56,80,38,22,69,Average
22,1.15,13,42,20,62,Poor
89,1.42,23,69,63,94,Average
91,2.88,12,98,25,86,Average
46,1.19,97,64,17,31,Poor
